"svspp","stocks","biomass","treatment","year","total","ztotal"
"36","unit","yes","NYY","1976","20097.2252018787","20097.2252018787"
"36","unit","yes","NYY","1977","31814.4829290606","31814.4829290606"
"36","unit","yes","NYY","1978","39897.6434487313","39897.6434487313"
"36","unit","yes","NYY","1979","34539.7679071626","34539.7679071626"
"36","unit","yes","NYY","1980","0",NA
"36","unit","yes","NYY","1981","46064.5789702142","46064.5789702142"
"36","unit","yes","NYY","1982","29616.4080121526","29616.4080121526"
"36","unit","yes","NYY","1983","0",NA
"36","unit","yes","NYY","1984","0",NA
"36","unit","yes","NYY","1985","0",NA
"36","unit","yes","NYY","1986","5387.3647955462","5387.3647955462"
"36","unit","yes","NYY","1987","0",NA
"36","unit","yes","NYY","1988","0",NA
"36","unit","yes","NYY","1989","0",NA
"36","unit","yes","NYY","1990","0",NA
"36","unit","yes","NYY","1991","0",NA
"36","unit","yes","NYY","1992","0",NA
"36","unit","yes","NYY","1993","0",NA
"36","unit","yes","NYY","1994","28330.4177763026","28330.4177763026"
"36","unit","yes","NYY","1995","22231.9976210627","22231.9976210627"
"36","unit","yes","NYY","1996","0",NA
"36","unit","yes","NYY","1997","0",NA
"36","unit","yes","NYY","1998","0",NA
"36","unit","yes","NYY","1999","0",NA
"36","unit","yes","NYY","2000","0",NA
"36","unit","yes","NYY","2001","0",NA
"36","unit","yes","NYY","2002","0",NA
"36","unit","yes","NYY","2003","0",NA
"36","unit","yes","NYY","2004","0",NA
"36","unit","yes","NYY","2005","0",NA
"36","unit","yes","NYY","2006","0",NA
"36","unit","yes","NYY","2007","0",NA
"36","unit","yes","NYY","2008","0",NA
"36","unit","yes","NYY","2009","0",NA
"36","unit","yes","NYY","2010","0",NA
"36","unit","yes","NYY","2011","39258.9457603413","39258.9457603413"
"36","unit","yes","NYY","2012","0",NA
"36","unit","yes","NYY","2013","0",NA
"36","unit","yes","NYY","2014","0",NA
"36","unit","yes","NYY","2015","0",NA
"36","unit","yes","NYY","2016","21557.4983673789","21557.4983673789"
"36","unit","yes","NYY","2017",NA,NA
"36","unit","yes","NYY","2018","0",NA
"36","unit","yes","YYY","1976","23261.1746602852","23261.1746602852"
"36","unit","yes","YYY","1977","36853.672218568","36853.672218568"
"36","unit","yes","YYY","1978","46230.8770356556","46230.8770356556"
"36","unit","yes","YYY","1979","40070.6742992317","40070.6742992317"
"36","unit","yes","YYY","1980","0",NA
"36","unit","yes","YYY","1981","53262.3781976243","53262.3781976243"
"36","unit","yes","YYY","1982","34359.4963486559","34359.4963486559"
"36","unit","yes","YYY","1983","0",NA
"36","unit","yes","YYY","1984","0",NA
"36","unit","yes","YYY","1985","0",NA
